what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023682452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023683735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023687416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023688648
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023693049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023695429
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023696540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023711694
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023720798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023722851
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023726481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023729402
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023731480
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023735854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023737675
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023738653
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519023741380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023745097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519023746568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519023785929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519023796113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519023821445
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519023911518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024027912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024042905
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519024089530
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519024109528
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519024112326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024135743
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024138914
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1519024139018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024139840
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024140067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024142015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024154703
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1519024160083
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519024164340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024166353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024175264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024181243
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519024243089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519024296047
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519024335742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024342029
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519024355004
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024402144
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024501279
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024502196
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024502804
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024504370
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024505420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519024506205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519024512801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519024559778
