what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519012147564
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012149729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012155126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1519012155141
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519012155698
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012172944
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012268310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519012276693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012278926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012343822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012353031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012356886
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1519012356997
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1519012364664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012364686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012368692
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1519012370328
opened,editor,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.editor",1519012372861
activated,editor,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.editor",1519012373023
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519012388481
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1519012391568
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.publish",1519012397844
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1519012402230
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1519012404035
activated,editor,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.editor",1519012405920
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519012405957
closed,editor,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.editor",1519012405973
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1519012408778
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519012412129
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519012416170
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519012419559
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519012425845
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1519012429910
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1519012431581
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519012439226
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012443691
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012449035
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1519012449180
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519012453681
