what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1518926558392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518926564031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518926575445
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518926579895
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518926582262
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518926584494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518926586968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932138048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932143751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932347969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932348917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932393891
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1518932405299
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518932411696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932432270
started,bundle,org.eclipse.wst.common.modulecore.ui,1.0.0.v201005270700,"org.eclipse.wst.common.modulecore.ui",1518932455261
started,bundle,org.eclipse.jst.common.ui,1.0.0.v201005270700,"org.eclipse.jst.common.ui",1518932457910
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932472084
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1518932472153
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1518932487323
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518932495498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932500517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518932640655
