what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518935911890
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1518935911951
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518935912255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518935924565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518935938895
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518935971040
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518935994661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936007867
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1518936016625
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518936018144
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1518936091630
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1518936147769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936152030
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936229749
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936231889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936289687
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1518936297829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936298395
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936352181
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1518936364060
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518936366352
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1518936366352
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936372119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936382059
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518936397497
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518936399316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936401169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936401987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936403470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936784817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936788070
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936793987
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518936796505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518936811885
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518936817261
error,log,,,"Errors occurred during the build.",1518936817554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936818188
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518936853415
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518936855013
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518936859222
