what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998200061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518998253547
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998255194
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998256149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998262300
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998264976
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1518998265039
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998265252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998298427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998309585
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998328820
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998329536
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998330637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998331437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998334455
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998341688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998346728
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1518998346782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998347351
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998355189
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518998366865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998378898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998386441
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998386710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998387975
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1518998398399
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1518998400270
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518998401139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998402655
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998429318
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998448296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998496869
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998531911
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998634643
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998636500
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1518998638588
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1518998641659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998658243
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1518998658315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998665320
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998673479
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1518998673483
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998686309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998697811
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1518998703311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518998704696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998706556
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998733060
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518998762852
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998767636
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998780589
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998785939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998785992
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998795385
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998800150
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998801534
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998808284
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998813057
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998829942
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998833876
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998849460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998865164
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998866360
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998872919
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAutomatically",1518998880904
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998882998
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1518998893513
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518998900657
activated,view,org.eclipse.wst.common.snippets,1.2.0.v201004290255,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1518998902696
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1518998904897
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518998905855
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAutomatically",1518998921090
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998929067
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998930740
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1518998930792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998930996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518998936159
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518998941488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518998946714
