what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520031810831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520031811611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520031842897
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520031847196
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520031871991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520031878530
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520031909697
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520031915641
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520031918535
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520031946572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520031964818
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520031972020
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520031976536
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032011671
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032013312
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032020916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1520032035874
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1520032036921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032038827
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032045437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1520032046672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032055522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032059162
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1520032059950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032061980
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032073745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032079136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032081120
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032081183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032084677
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1520032084724
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1520032098886
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1520032099215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032100262
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032106596
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1520032106596
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032119694
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032131986
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032146263
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032253739
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032307458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032311109
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032318754
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032325571
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032348802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032351242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032351273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032354057
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1520032354120
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032363495
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032415161
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032424426
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1520032450570
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032456250
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032468677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032501442
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032504802
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032520180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032536244
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032548804
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032551226
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032555723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032568973
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032571661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032575444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032578339
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032578363
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032579963
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1520032580010
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032583315
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032595676
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032605746
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032616473
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032650052
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032658864
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032660552
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032666129
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032677832
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032683803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032691145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032693130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032693177
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032695333
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1520032695411
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032701211
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032721895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032745988
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520032750770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032766458
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032776883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032790613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032796973
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032808755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032813414
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032815586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032815618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032816826
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1520032816873
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032818157
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032846336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032849885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032896800
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1520032897300
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032898238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032905021
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520032906868
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032918147
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1520032945949
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520032960023
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1520032961648
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520032969951
