what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518940805532
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518940808180
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518940812630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518940836907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518940837651
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518940858431
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518940860379
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518940863166
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518940863820
error,log,,,"Errors occurred during the build.",1518940863836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518940863867
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518940866008
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1518940869458
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518940877581
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518940880955
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518940884290
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518940902948
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518940905771
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518940907590
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518940909092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941019542
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518941020189
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518941022129
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518941030870
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518941033019
error,log,,,"Errors occurred during the build.",1518941033038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941033100
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941033218
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518941033316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941035630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941035762
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1518941037632
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518941054604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941069532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941095655
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1518941104256
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518941135114
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941139579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941434493
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518941437307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941521232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941561597
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518941563783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518941568234
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518941571280
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1518941578065
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941586482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941599724
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518941601426
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518941603494
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518941604962
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518941610269
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941622135
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941646403
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941675589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941683497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518941743708
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941756396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941758894
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1518941759163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941762081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941784115
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941800484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518941995001
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518941997750
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1518942002196
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518942003415
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518942039837
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1518942043167
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1518942102334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518942109746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1518942111899
