what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519438969460
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519438969601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519438977840
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519438980487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519438983803
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519438989151
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519438991923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439001599
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439005482
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439019214
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519439087337
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519439177370
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439225282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439228070
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439240831
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439241457
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439242952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439246033
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439252319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439253741
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439260073
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439263579
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439419702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439425010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519439430586
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439432873
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519439455966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439458357
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519439482708
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439492083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519439561971
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439569307
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439581036
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519439590516
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439593869
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439626503
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439627425
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439643725
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519439651391
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439653813
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519439666999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519439698038
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519439701106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439762415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439770582
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439771577
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1519439773727
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519439786401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439791578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439809145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439810605
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519439823307
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519439870030
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519439873549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519440611409
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519440647249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519440667178
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519441595746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519443822724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519443827399
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519445334905
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519445397328
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519445417503
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519445512189
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519445516540
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519445539068
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519445543161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519445552986
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519445563481
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1519445600956
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1519445624378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519445665627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519445681003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519445685471
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519445696545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519445697529
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519445708593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519445708733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519445720654
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519445727346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519445730603
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519445741793
