what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456639724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456643874
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456644931
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456646626
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456647616
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1519456655022
opened,editor,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.editor",1519456657445
activated,editor,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.editor",1519456657781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456672065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456683048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456686111
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456889996
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519456892983
closed,editor,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.editor",1519456892983
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519456894363
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519456894378
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519456894847
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519456909255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456919871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456928508
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1519456928523
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456928927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456930248
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1519456933799
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1519456934221
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1519456934924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456937440
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456941852
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1519456942477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456947728
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1519456947744
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519456949634
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519456951811
started,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1519456964706
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1519456964737
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1519456964878
