what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007531870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007547031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007555916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007607522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007611838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007615221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007624049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007626534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007629024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007630102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007633545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007637804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007644092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007647721
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007650814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007665432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519007667156
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519007764339
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007781898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007788473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007791728
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007793254
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519007806125
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007806552
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007812282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007814368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007843530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007845986
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007855807
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519007863276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007869425
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007873752
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007885774
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007895852
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519007896938
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519007900609
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007917362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007929327
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007935936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007945305
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007954119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007957669
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007964512
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007968730
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007971083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519007973832
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519008009484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519008014670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519008017707
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519008024393
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519008149324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519008199424
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519008806902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010703200
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010705176
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010705210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010726004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010729575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010751494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010757674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010769255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010771995
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010776027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010776803
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519010786924
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519010797807
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1519010800625
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010801695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010804899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010806697
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010812415
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010830329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010833083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010846810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010862567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010866977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010869766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010873347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010876173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010886398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010889087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010893899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010916822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010918787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010920219
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010923716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519010925916
