what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520034526249
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034529687
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034537235
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034543834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034547455
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034547596
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034549111
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1520034549174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034564938
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034612317
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520034620240
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520034625897
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520034626053
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520034626116
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034629663
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1520034629663
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520034631963
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034634171
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034634202
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034645317
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034645317
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520034647692
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034649114
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034649130
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034661397
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034661397
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520034664118
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034664993
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034665024
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034670040
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1520034670040
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520034675613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034678394
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034687483
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034691186
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034693270
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1520034693317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034699084
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034744230
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1520034754506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034755871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1520034785197
