what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807079419
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807085870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807085994
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519807089566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807097777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807097900
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807097927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807099183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807099226
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519807100808
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519807111939
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807114805
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807134640
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807136394
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807145926
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519807152412
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807152572
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807152592
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519807163435
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807167030
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519807167030
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807169152
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807188443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807189300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807190853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807196368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807221906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807226767
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807232596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519807302089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807308079
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519807324978
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519807331005
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807340673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807353795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807371345
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807707445
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519807713941
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807717675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807730590
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807733828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807735459
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807751852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807763551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807765168
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807771251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807772458
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807772853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807800872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519807819299
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807837959
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519807850231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807856725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807873357
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807880486
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807886319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519807902999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807906087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807927170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807934855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807941380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519807946827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807947660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519807960749
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807962697
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519807976310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519807979050
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519808012547
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519808018202
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1519808087581
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1519808087627
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1519808087670
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1519808087901
